  pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   mavar,__deg |   __mag,_comp |   ____P,deg/s |   ____Q,deg/s |   ____R,deg/s | 
      4.70693 |      -0.81375 |      67.95119 |      67.54340 |      -0.40779 |      69.72363 |      -0.00004 |      -0.00049 |       0.00037 | 
      4.70776 |      -0.81368 |      67.95120 |      67.54336 |      -0.40784 |      69.72284 |      -0.00000 |      -0.00032 |       0.00043 | 
      4.70870 |      -0.81375 |      67.95142 |      67.54352 |      -0.40790 |      69.72246 |      -0.00019 |      -0.00029 |       0.00037 | 
      4.70966 |      -0.81379 |      67.95130 |      67.54335 |      -0.40795 |      69.72215 |       0.00002 |      -0.00027 |       0.00039 | 
      4.71060 |      -0.81372 |      67.95142 |      67.54341 |      -0.40801 |      69.72208 |      -0.00004 |      -0.00029 |       0.00040 | 
      4.71147 |      -0.81367 |      67.95138 |      67.54331 |      -0.40807 |      69.72208 |       0.00004 |      -0.00036 |       0.00040 | 
      4.71230 |      -0.81359 |      67.95147 |      67.54334 |      -0.40812 |      69.72208 |      -0.00002 |      -0.00043 |       0.00037 | 
      4.71303 |      -0.81350 |      67.95140 |      67.54322 |      -0.40818 |      69.72218 |       0.00010 |      -0.00048 |       0.00040 | 
      4.71369 |      -0.81339 |      67.95153 |      67.54330 |      -0.40824 |      69.72257 |      -0.00001 |      -0.00060 |       0.00037 | 
      4.71422 |      -0.81330 |      67.95146 |      67.54317 |      -0.40829 |      69.72276 |       0.00009 |      -0.00076 |       0.00038 | 
      4.71462 |      -0.81319 |      67.95155 |      67.54321 |      -0.40835 |      69.72303 |       0.00001 |      -0.00090 |       0.00036 | 
      4.71491 |      -0.81308 |      67.95152 |      67.54312 |      -0.40840 |      69.72317 |       0.00008 |      -0.00105 |       0.00036 | 
      4.71509 |      -0.81293 |      67.95156 |      67.54310 |      -0.40846 |      69.72337 |       0.00007 |      -0.00109 |       0.00036 | 
      4.71518 |      -0.81281 |      67.95152 |      67.54301 |      -0.40852 |      69.72356 |       0.00012 |      -0.00126 |       0.00037 | 
      4.71517 |      -0.81270 |      67.95171 |      67.54314 |      -0.40857 |      69.72387 |      -0.00006 |      -0.00131 |       0.00036 | 
      4.71509 |      -0.81271 |      67.95174 |      67.54311 |      -0.40863 |      69.72402 |      -0.00005 |      -0.00140 |       0.00037 | 
      4.71489 |      -0.81279 |      67.95193 |      67.54325 |      -0.40868 |      69.72416 |      -0.00020 |      -0.00154 |       0.00034 | 
      4.71464 |      -0.81290 |      67.95193 |      67.54320 |      -0.40874 |      69.72416 |      -0.00012 |      -0.00154 |       0.00035 | 
      4.71436 |      -0.81300 |      67.95211 |      67.54331 |      -0.40880 |      69.72416 |      -0.00022 |      -0.00158 |       0.00034 | 
      4.71408 |      -0.81314 |      67.95211 |      67.54326 |      -0.40885 |      69.72416 |      -0.00011 |      -0.00158 |       0.00035 | 
      4.71377 |      -0.81318 |      67.95215 |      67.54324 |      -0.40891 |      69.72408 |      -0.00005 |      -0.00157 |       0.00036 | 
      4.71350 |      -0.81323 |      67.95222 |      67.54325 |      -0.40896 |      69.72395 |      -0.00007 |      -0.00155 |       0.00032 | 
      4.71322 |      -0.81317 |      67.95218 |      67.54316 |      -0.40902 |      69.72365 |       0.00005 |      -0.00154 |       0.00034 | 
      4.71296 |      -0.81306 |      67.95222 |      67.54314 |      -0.40908 |      69.72343 |       0.00006 |      -0.00155 |       0.00033 | 
      4.71271 |      -0.81290 |      67.95222 |      67.54308 |      -0.40913 |      69.72321 |       0.00011 |      -0.00153 |       0.00034 | 
      4.71249 |      -0.81275 |      67.95213 |      67.54295 |      -0.40919 |      69.72305 |       0.00018 |      -0.00148 |       0.00037 | 
      4.71228 |      -0.81247 |      67.95215 |      67.54291 |      -0.40924 |      69.72281 |       0.00020 |      -0.00144 |       0.00047 | 
      4.71212 |      -0.81236 |      67.95229 |      67.54298 |      -0.40930 |      69.72277 |       0.00003 |      -0.00143 |       0.00038 | 
      4.71199 |      -0.81221 |      67.95221 |      67.54285 |      -0.40935 |      69.72255 |       0.00012 |      -0.00140 |       0.00040 | 
      4.71186 |      -0.81199 |      67.95219 |      67.54279 |      -0.40941 |      69.72245 |       0.00015 |      -0.00138 |       0.00046 | 
      4.71176 |      -0.81185 |      67.95230 |      67.54283 |      -0.40947 |      69.72243 |       0.00002 |      -0.00139 |       0.00043 | 
      4.71168 |      -0.81174 |      67.95224 |      67.54272 |      -0.40952 |      69.72231 |       0.00012 |      -0.00144 |       0.00043 | 
      4.71165 |      -0.81159 |      67.95237 |      67.54279 |      -0.40958 |      69.72217 |      -0.00000 |      -0.00130 |       0.00044 | 
      4.71162 |      -0.81152 |      67.95231 |      67.54267 |      -0.40963 |      69.72213 |       0.00008 |      -0.00128 |       0.00044 | 
      4.71160 |      -0.81141 |      67.95244 |      67.54275 |      -0.40969 |      69.72206 |      -0.00002 |      -0.00129 |       0.00044 | 
      4.71157 |      -0.81136 |      67.95238 |      67.54263 |      -0.40975 |      69.72200 |       0.00006 |      -0.00131 |       0.00044 | 
      4.71156 |      -0.81125 |      67.95246 |      67.54266 |      -0.40980 |      69.72191 |       0.00003 |      -0.00124 |       0.00046 | 
      4.71153 |      -0.81122 |      67.95245 |      67.54259 |      -0.40986 |      69.72187 |       0.00006 |      -0.00129 |       0.00043 | 
      4.71148 |      -0.81109 |      67.95251 |      67.54259 |      -0.40991 |      69.72180 |       0.00003 |      -0.00127 |       0.00045 | 
      4.71144 |      -0.81103 |      67.95252 |      67.54256 |      -0.40997 |      69.72178 |       0.00004 |      -0.00128 |       0.00043 | 
      4.71142 |      -0.81091 |      67.95253 |      67.54250 |      -0.41003 |      69.72169 |       0.00008 |      -0.00128 |       0.00045 | 
      4.71175 |      -0.81080 |      67.95257 |      67.54249 |      -0.41008 |      69.72166 |       0.00007 |      -0.00050 |       0.00047 | 
      4.71293 |      -0.81067 |      67.95260 |      67.54247 |      -0.41014 |      69.72170 |       0.00008 |       0.00034 |       0.00052 | 
      4.71488 |      -0.81059 |      67.95270 |      67.54250 |      -0.41019 |      69.72253 |      -0.00001 |       0.00102 |       0.00053 | 
      4.71746 |      -0.81058 |      67.95287 |      67.54263 |      -0.41025 |      69.72346 |      -0.00014 |       0.00162 |       0.00057 |
