  pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   mavar,__deg |   __mag,_comp |   ____P,deg/s |   ____Q,deg/s |   ____R,deg/s | 
      0.46282 |      -0.74516 |     166.54565 |     166.12128 |      -0.42438 |     166.43881 |      -0.01356 |      -0.19083 |       0.00317 | 
      0.24911 |      -0.76099 |     166.55122 |     166.12682 |      -0.42440 |     166.40199 |      -0.01825 |      -0.24394 |       0.00238 | 
     -0.01960 |      -0.78093 |     166.55663 |     166.13220 |      -0.42442 |     166.37685 |      -0.02115 |      -0.29220 |       0.00119 | 
     -0.32718 |      -0.80241 |     166.56140 |     166.13696 |      -0.42445 |     166.36169 |      -0.02202 |      -0.33040 |      -0.00012 | 
     -0.67592 |      -0.82432 |     166.56549 |     166.14102 |      -0.42447 |     166.35329 |      -0.02104 |      -0.35969 |      -0.00150 | 
     -1.03953 |      -0.84405 |     166.56856 |     166.14407 |      -0.42449 |     166.34961 |      -0.01856 |      -0.37605 |      -0.00296 | 
     -1.41823 |      -0.86086 |     166.57043 |     166.14592 |      -0.42451 |     166.34857 |      -0.01470 |      -0.37984 |      -0.00446 | 
     -1.79020 |      -0.87309 |     166.57098 |     166.14645 |      -0.42453 |     166.34827 |      -0.00992 |      -0.37146 |      -0.00573 | 
     -2.15281 |      -0.88029 |     166.57027 |     166.14571 |      -0.42456 |     166.34700 |      -0.00456 |      -0.34794 |      -0.00667 | 
     -2.49117 |      -0.88199 |     166.56842 |     166.14384 |      -0.42458 |     166.34467 |       0.00087 |      -0.32720 |      -0.00736 | 
     -2.79724 |      -0.87837 |     166.56558 |     166.14098 |      -0.42460 |     166.34019 |       0.00602 |      -0.29299 |      -0.00779 | 
     -3.07115 |      -0.86964 |     166.56183 |     166.13721 |      -0.42462 |     166.33351 |       0.01075 |      -0.25495 |      -0.00789 | 
     -3.30403 |      -0.85642 |     166.55743 |     166.13278 |      -0.42465 |     166.32463 |       0.01475 |      -0.21122 |      -0.00768 | 
     -3.49054 |      -0.83975 |     166.55272 |     166.12805 |      -0.42467 |     166.31387 |       0.01781 |      -0.16648 |      -0.00720 | 
